image_url,artwork_id,artist_id,title,artist,category,year,museum,material,genre,art_type,movement
http://commons.wikimedia.org/wiki/Special:FilePath/A%20Sunday%20on%20La%20Grande%20Jatte%2C%20Georges%20Seurat%2C%201884.jpg?width=400,f9b1a9a0084a,f9fa64570e73,A Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,Painting,1884,Art Institute of Chicago,oil paint,genre art,painting,Post-impressionism
http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%2C%20Adoration%2C%20c1481%2C%20Uffizi.jpg?width=400,af98652ec3a9,4f9b6c6861b4,Adoration of the Magi,Leonardo da Vinci,Painting,1482,Uffizi Gallery,drawing,religious art,unfinished creative work,Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Albrecht%20D%C3%BCrer%2C%20The%20Rhinoceros%2C%201515%2C%20NGA%2047903.jpg?width=400,0c348e1cfc5c,7cd388d03ab1,The Rhinoceros,Albrecht Dürer,Painting,1512-1515,British Museum,laid paper,animal art,woodcut print,German Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/CAPPELLA%20SISTINA%20Ceiling.jpg?width=400,3de9dbe8d2f2,0d46a3ff4160,Sistine Chapel ceiling,Michelangelo,Painting,1508,Sistine Chapel,fresco,religious painting,cycle of frescoes,High Renaissance
http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20The%20Astronomer%20-%201668.jpg?width=400,88b734137d48,bbdeaf783d50,The Astronomer,Johannes Vermeer,Painting,1664,Louvre Museum,oil paint,genre art,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Holbein%20the%20Younger%20-%20The%20Ambassadors%20-%20Google%20Art%20Project.jpg?width=400,115dbbdc4d26,5acb19b0c50e,The Ambassadors,Hans Holbein the Younger,Painting,1533,National Gallery,oil paint,portrait,painting,Mannerism
http://commons.wikimedia.org/wiki/Special:FilePath/William-Adolphe%20Bouguereau%20%281825-1905%29%20-%20The%20Birth%20of%20Venus%20%281879%29.jpg?width=400,b7c0e83daef9,6e28362be16f,The Birth of Venus,William-Adolphe Bouguereau,Painting,1879,Musée d'Orsay,oil paint,nude,painting,academic art
http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Courbet%20-%20A%20Burial%20at%20Ornans%20-%20Google%20Art%20Project.jpg?width=400,037bde1605e5,4211369afbd3,A Burial at Ornans,Gustave Courbet,Painting,1841,Musée d'Orsay,oil paint,genre art,painting,literary realism
http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz.%20van%20Rijn%20-%20Portret%20van%20een%20paar%20als%20oudtestamentische%20figuren%2C%20genaamd%20%27Het%20Joodse%20bruidje%27%20-%20Google%20Art%20Project.jpg?width=400,dc57bd2df5f3,2302b94ee10c,The Jewish Bride,Rembrandt,Painting,1667,Rijksmuseum,oil paint,portrait,painting,Baroque
http://commons.wikimedia.org/wiki/Special:FilePath/Annunciation%20%28Leonardo%29%20%28cropped%29.jpg?width=400,d4da9e6e69a9,4f9b6c6861b4,Annunciation,Leonardo da Vinci,Painting,1472-1475-1478,Uffizi Gallery,oil paint,religious art,painting,Italian Renaissance
