image_url,artwork_id,title,artist,category,year,museum,material,genre,art_type
http://commons.wikimedia.org/wiki/Special:FilePath/Edgar%20Degas%2C%20Femme%20dans%20son%20bain%20s%27%C3%A9pongeant%20la%20jambe.jpg?width=400,wikidata_39,Woman in her Bath Sponging her Leg,Edgar Degas,Painting,1883,,paper,nude,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Armand%20Guillaumin%20-%20Soleil%20couchant%20%C3%A0%20Ivry%20-%201869.jpg?width=400,wikidata_40,Soleil couchant à Ivry,Armand Guillaumin,Painting,1873,,oil paint,landscape painting,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Alfred%20Sisley%20-%20Fog%2C%20Voisins%20-%20Google%20Art%20Project.jpg?width=400,wikidata_41,"Fog, Voisins",Alfred Sisley,Painting,1874,,oil paint,landscape painting,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Pesellino%2C%20predella%20della%20pala%20del%20noviziato.jpg?width=400,wikidata_42,Stigmata of St. Francis,Francesco Pesellino,Painting,1440,,tempera,religious art,predella
http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Barocci%2C%20La%20beata%20Michelina%2C%201606%20-FG%20%28cropped%29.jpg?width=400,wikidata_43,Beata Michelina,Federico Barocci,Painting,1598,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/L%27Annonciation%20-%20Johann%20Friedrich%20OVERBECK.jpg?width=400,wikidata_44,Q133928429,Johann Friedrich Overbeck,Painting,1820,,oil paint,religious art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Polichinelle%20coupable%2C%20par%20Giambattista%20Tiepolo.jpg?width=400,wikidata_45,Q135841094,Giovanni Battista Tiepolo,Painting,1740,,oil paint,Unknown,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Chef%20de%20saint%20Jean-Baptiste%2C%20par%20Pierre%20Puget.jpg?width=400,wikidata_46,Q135965542,Pierre Puget,Painting,1650,,oil paint,Christian painting,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Willem%20van%20Mieris%20-%20A%20Grocer%27s%20Shop%20-%20109%20-%20Mauritshuis.jpg?width=400,wikidata_47,A Grocer's Shop,Willem van Mieris,Painting,1717,,oil paint,genre art,painting
http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Steen%20-%20The%20Doctor%27s%20Visit%20-%20168%20-%20Mauritshuis.jpg?width=400,wikidata_48,The Doctor's Visit,Jan Steen,Painting,1660,,panel,genre art,painting
